Frame,ParticleCount
0,25
1,50
2,75
3,100
4,125
5,150
6,175
7,200
8,225
9,250
10,275
11,300
12,325
13,350
14,375
15,400
16,425
17,450
18,475
19,500
20,525
21,550
22,575
23,600
24,625
25,650
26,675
27,700
28,725
29,750
30,775
31,800
32,825
33,850
34,875
35,900
36,925
37,950
38,975
39,1000
40,1025
41,1050
42,1075
43,1100
44,1125
45,1150
46,1175
47,1200
48,1225
49,1250
50,1275
51,1300
52,1325
53,1350
54,1375
55,1400
56,1425
57,1450
58,1475
59,1500
60,1525
61,1550
62,1575
63,1600
64,1625
65,1650
66,1675
67,1700
68,1725
69,1750
70,1775
71,1800
72,1825
73,1850
74,1875
75,1900
76,1925
77,1950
78,1975
79,1975
80,1975
81,1975
82,1975
83,1975
84,1975
85,1975
86,1975
87,1975
88,1975
89,1975
90,1975
91,1975
92,1975
93,1975
94,1975
95,1975
96,1975
97,1975
98,1975
99,1975
100,1975
101,1975
102,1975
103,1975
104,1975
105,1975
106,1975
107,1975
108,1975
109,1975
110,1975
111,1975
112,1975
113,1975
114,1975
115,1975
116,1975
117,1975
118,1975
119,1975
120,1975
121,1975
122,1975
123,1975
124,1975
125,1975
126,1975
127,1975
128,1975
129,1975
130,1975
131,1975
132,1975
133,1975
134,1975
135,1975
136,1975
137,1975
138,1975
139,1975
140,1975
141,1975
142,1975
143,1975
144,1975
145,1975
146,1975
147,1975
148,1975
149,1975
150,1975
151,1975
152,1975
153,1975
154,1975
155,1975
156,1975
157,1975
158,1975
159,1975
160,1975
161,1975
162,1975
163,1975
164,1975
165,1975
166,1975
167,1975
168,1975
169,1975
170,1975
171,1975
172,1975
173,1975
174,1975
175,1975
176,1975
177,1975
178,1975
179,1975
180,1975
181,1975
182,1975
183,1975
184,1975
185,1975
186,1975
187,1975
188,1975
189,1975
190,1975
191,1975
192,1975
193,1975
194,1975
195,1975
196,1975
197,1975
198,1975
199,1975
200,1975
201,1975
202,1975
203,1975
204,1975
205,1975
206,1975
207,1975
208,1975
209,1975
210,1975
211,1975
212,1975
213,1975
214,1975
215,1975
216,1975
217,1975
218,1975
219,1975
220,1975
221,1975
222,1975
223,1975
224,1975
225,1975
226,1975
227,1975
228,1975
229,1975
230,1975
231,1975
232,1975
233,1975
234,1975
235,1975
236,1975
237,1975
238,1975
239,1975
240,1975
241,1975
242,1975
243,1975
244,1975
245,1975
246,1975
247,1975
248,1975
249,1975
250,1975
251,1975
252,1975
253,1975
254,1975
255,1975
256,1975
257,1975
258,1975
259,1975
260,1975
261,1975
262,1975
263,1975
264,1975
265,1975
266,1975
267,1975
268,1975
269,1975
270,1975
271,1975
272,1975
273,1975
274,1975
275,1975
276,1975
277,1975
278,1975
279,1975
280,1975
281,1975
282,1975
283,1975
284,1975
285,1975
286,1975
