Frame,ParticleCount
287,1975
288,1975
289,1975
290,1975
291,1975
292,1975
293,1975
294,1975
295,1975
296,1975
297,1975
298,1975
299,1975
300,1975
301,1975
302,1975
303,1975
304,1975
305,1975
306,1975
307,1975
308,1975
309,1975
310,1975
311,1975
312,1975
313,1975
314,1975
315,1975
316,1975
317,1975
318,1975
319,1975
320,1975
321,1975
322,1975
323,1975
324,1975
325,1975
326,1975
327,1975
328,1975
329,1975
330,1975
331,1975
332,1975
333,1975
334,1975
335,1975
336,1975
337,1975
338,1975
339,1975
340,1975
341,1975
342,1975
343,1975
344,1975
345,1975
346,1975
347,1975
348,1975
349,1975
350,1975
351,1975
352,1975
353,1975
354,1975
355,1975
356,1975
357,1975
358,1975
359,1975
360,1975
361,1975
362,1975
363,1975
364,1975
365,1975
366,1975
367,1975
368,1975
369,1975
370,1975
371,1975
372,1975
373,1975
374,1975
375,1975
376,1975
377,1975
378,1975
379,1975
380,1975
381,1975
382,1975
383,1975
384,1975
385,1975
386,1975
387,1975
388,1975
389,1975
390,1975
391,1975
392,1975
393,1975
394,1975
395,1975
396,1975
397,1975
398,1975
399,1975
400,1975
401,1975
402,1975
403,1975
404,1975
405,1975
406,1975
407,1975
408,1975
409,1975
410,1975
411,1975
412,1975
413,1975
414,1975
415,1975
416,1975
417,1975
418,1975
419,1975
420,1975
421,1975
422,1975
423,1975
424,1975
425,1975
426,1975
427,1975
428,1975
429,1975
430,1975
431,1975
432,1975
433,1975
434,1975
435,1975
436,1975
437,1975
438,1975
439,1975
440,1975
441,1975
442,1975
443,1975
444,1975
445,1975
446,1975
447,1975
448,1975
449,1975
450,1975
451,1975
452,1975
453,1975
454,1975
455,1975
456,1975
457,1975
458,1975
459,1975
460,1975
461,1975
462,1975
463,1975
464,1975
465,1975
466,1975
467,1975
468,1975
469,1975
470,1975
471,1975
472,1975
473,1975
474,1975
475,1975
476,1975
477,1975
478,1975
479,1975
480,1975
481,1975
482,1975
483,1975
484,1975
485,1975
486,1975
487,1975
488,1975
489,1975
490,1975
491,1975
492,1975
493,1975
494,1975
495,1975
496,1975
497,1975
498,1975
499,1975
500,1975
501,1975
502,1975
503,1975
504,1975
505,1975
506,1975
507,1975
508,1975
509,1975
510,1975
511,1975
512,1975
513,1975
514,1975
515,1975
516,1975
517,1975
518,1975
519,1975
520,1975
521,1975
522,1975
523,1975
524,1975
525,1975
526,1975
527,1975
528,1975
529,1975
530,1975
531,1975
532,1975
533,1975
534,1975
535,1975
536,1975
537,1975
538,1975
539,1975
540,1975
541,1975
542,1975
543,1975
544,1975
545,1975
546,1975
547,1975
548,1975
549,1975
550,1975
551,1975
552,1975
553,1975
554,1975
555,1975
556,1975
557,1975
558,1975
559,1975
560,1975
561,1975
562,1975
563,1975
564,1975
565,1975
566,1975
567,1975
568,1975
569,1975
570,1975
571,1975
572,1975
573,1975
574,1975
575,1975
576,1975
577,1975
578,1975
579,1975
580,1975
581,1975
582,1975
583,1975
584,1975
585,1975
586,1975
587,1975
588,1975
589,1975
590,1975
591,1975
592,1975
593,1975
594,1975
595,1975
596,1975
597,1975
598,1975
599,1975
600,1975
601,1975
602,1975
603,1975
604,1975
605,1975
606,1975
607,1975
608,1975
609,1975
610,1975
611,1975
612,1975
613,1975
614,1975
615,1975
616,1975
617,1975
618,1975
619,1975
620,1975
621,1975
622,1975
623,1975
624,1975
625,1975
626,1975
627,1975
628,1975
629,1975
630,1975
631,1975
632,1975
633,1975
634,1975
635,1975
636,1975
637,1975
638,1975
639,1975
640,1975
641,1975
642,1975
643,1975
644,1975
645,1975
646,1975
647,1975
648,1975
649,1975
650,1975
651,1975
652,1975
653,1975
654,1975
655,1975
656,1975
657,1975
658,1975
659,1975
660,1975
661,1975
662,1975
663,1975
664,1975
665,1975
666,1975
667,1975
668,1975
669,1975
670,1975
671,1975
672,1975
673,1975
674,1975
675,1975
676,1975
677,1975
678,1975
679,1975
680,1975
681,1975
682,1975
683,1975
684,1975
685,1975
686,1975
687,1975
688,1975
689,1975
690,1975
691,1975
692,1975
693,1975
694,1975
695,1975
696,1975
697,1975
698,1975
699,1975
700,1975
701,1975
702,1975
703,1975
704,1975
705,1975
706,1975
707,1975
708,1975
709,1975
710,1975
711,1975
712,1975
713,1975
714,1975
715,1975
716,1975
717,1975
718,1975
719,1975
720,1975
721,1975
722,1975
723,1975
724,1975
725,1975
726,1975
727,1975
728,1975
729,1975
730,1975
731,1975
732,1975
733,1975
734,1975
735,1975
736,1975
737,1975
738,1975
739,1975
740,1975
741,1975
742,1975
743,1975
744,1975
745,1975
746,1975
747,1975
748,1975
749,1975
750,1975
751,1975
752,1975
753,1975
754,1975
755,1975
756,1975
757,1975
758,1975
759,1975
760,1975
761,1975
762,1975
763,1975
764,1975
765,1975
766,1975
767,1975
768,1975
769,1975
770,1975
771,1975
772,1975
773,1975
774,1975
775,1975
776,1975
777,1975
778,1975
779,1975
780,1975
781,1975
782,1975
783,1975
784,1975
785,1975
786,1975
787,1975
788,1975
789,1975
790,1975
791,1975
792,1975
793,1975
794,1975
795,1975
796,1975
797,1975
798,1975
799,1975
800,1975
801,1975
802,1975
803,1975
804,1975
805,1975
806,1975
807,1975
808,1975
809,1975
810,1975
811,1975
812,1975
813,1975
814,1975
815,1975
816,1975
817,1975
818,1975
819,1975
820,1975
821,1975
822,1975
823,1975
824,1975
825,1975
826,1975
827,1975
828,1975
829,1975
830,1975
831,1975
832,1975
833,1975
834,1975
835,1975
836,1975
837,1975
838,1975
839,1975
840,1975
841,1975
842,1975
843,1975
844,1975
845,1975
846,1975
847,1975
848,1975
849,1975
850,1975
851,1975
852,1975
853,1975
854,1975
855,1975
856,1975
857,1975
858,1975
859,1975
860,1975
861,1975
862,1975
863,1975
864,1975
865,1975
866,1975
867,1975
868,1975
869,1975
870,1975
871,1975
872,1975
873,1975
874,1975
875,1975
876,1975
877,1975
878,1975
879,1975
880,1975
881,1975
882,1975
883,1975
884,1975
885,1975
886,1975
887,1975
888,1975
889,1975
890,1975
891,1975
892,1975
893,1975
894,1975
895,1975
896,1975
897,1975
898,1975
899,1975
900,1975
901,1975
902,1975
903,1975
904,1975
905,1975
906,1975
907,1975
908,1975
909,1975
910,1975
911,1975
912,1975
913,1975
914,1975
915,1975
916,1975
917,1975
918,1975
919,1975
920,1975
921,1975
922,1975
923,1975
924,1975
925,1975
926,1975
927,1975
928,1975
929,1975
930,1975
931,1975
932,1975
933,1975
934,1975
935,1975
936,1975
937,1975
938,1975
939,1975
940,1975
941,1975
942,1975
943,1975
944,1975
945,1975
946,1975
947,1975
948,1975
949,1975
950,1975
951,1975
952,1975
953,1975
954,1975
955,1975
956,1975
957,1975
958,1975
959,1975
960,1975
961,1975
962,1975
963,1975
964,1975
965,1975
966,1975
967,1975
968,1975
969,1975
970,1975
971,1975
972,1975
973,1975
974,1975
975,1975
976,1975
977,1975
978,1975
979,1975
980,1975
981,1975
982,1975
983,1975
984,1975
985,1975
986,1975
987,1975
988,1975
989,1975
990,1975
991,1975
992,1975
993,1975
994,1975
995,1975
996,1975
997,1975
998,1975
999,1975
1000,1975
1001,1975
1002,1975
1003,1975
1004,1975
1005,1975
1006,1975
1007,1975
1008,1975
1009,1975
1010,1975
1011,1975
1012,1975
1013,1975
1014,1975
1015,1975
1016,1975
1017,1975
1018,1975
1019,1975
1020,1975
1021,1975
1022,1975
1023,1975
1024,1975
1025,1975
1026,1975
1027,1975
1028,1975
1029,1975
1030,1975
1031,1975
1032,1975
1033,1975
1034,1975
1035,1975
1036,1975
1037,1975
1038,1975
1039,1975
1040,1975
1041,1975
1042,1975
1043,1975
1044,1975
1045,1975
1046,1975
1047,1975
1048,1975
1049,1975
1050,1975
1051,1975
1052,1975
1053,1975
1054,1975
1055,1975
1056,1975
1057,1975
1058,1975
1059,1975
1060,1975
1061,1975
1062,1975
1063,1975
1064,1975
1065,1975
1066,1975
1067,1975
1068,1975
1069,1975
1070,1975
1071,1975
1072,1975
1073,1975
1074,1975
1075,1975
1076,1975
1077,1975
1078,1975
1079,1975
1080,1975
1081,1975
1082,1975
1083,1975
1084,1975
1085,1975
1086,1975
1087,1975
1088,1975
1089,1975
1090,1975
1091,1975
1092,1975
1093,1975
1094,1975
1095,1975
1096,1975
1097,1975
1098,1975
1099,1975
1100,1975
1101,1975
1102,1975
1103,1975
1104,1975
1105,1975
1106,1975
1107,1975
1108,1975
1109,1975
1110,1975
1111,1975
1112,1975
1113,1975
1114,1975
1115,1975
1116,1975
1117,1975
1118,1975
1119,1975
1120,1975
1121,1975
1122,1975
1123,1975
1124,1975
1125,1975
1126,1975
1127,1975
1128,1975
1129,1975
1130,1975
1131,1975
1132,1975
1133,1975
1134,1975
1135,1975
1136,1975
1137,1975
1138,1975
1139,1975
1140,1975
1141,1975
1142,1975
1143,1975
1144,1975
1145,1975
1146,1975
1147,1975
1148,1975
1149,1975
1150,1975
1151,1975
1152,1975
1153,1975
1154,1975
1155,1975
1156,1975
1157,1975
1158,1975
1159,1975
1160,1975
1161,1975
1162,1975
1163,1975
1164,1975
1165,1975
1166,1975
1167,1975
1168,1975
1169,1975
1170,1975
1171,1975
1172,1975
1173,1975
1174,1975
1175,1975
1176,1975
1177,1975
1178,1975
1179,1975
1180,1975
1181,1975
1182,1975
1183,1975
1184,1975
1185,1975
1186,1975
1187,1975
1188,1975
1189,1975
1190,1975
1191,1975
1192,1975
1193,1975
1194,1975
1195,1975
1196,1975
1197,1975
1198,1975
1199,1975
1200,1975
1201,1975
1202,1975
1203,1975
1204,1975
1205,1975
1206,1975
1207,1975
1208,1975
1209,1975
1210,1975
1211,1975
1212,1975
1213,1975
1214,1975
1215,1975
1216,1975
1217,1975
1218,1975
1219,1975
1220,1975
1221,1975
1222,1975
1223,1975
1224,1975
1225,1975
1226,1975
1227,1975
1228,1975
1229,1975
1230,1975
1231,1975
1232,1975
1233,1975
1234,1975
1235,1975
1236,1975
1237,1975
1238,1975
1239,1975
1240,1975
1241,1975
1242,1975
1243,1975
1244,1975
1245,1975
1246,1975
1247,1975
1248,1975
1249,1975
1250,1975
1251,1975
1252,1975
1253,1975
1254,1975
1255,1975
1256,1975
1257,1975
1258,1975
1259,1975
1260,1975
1261,1975
1262,1975
1263,1975
1264,1975
1265,1975
1266,1975
1267,1975
1268,1975
1269,1975
1270,1975
1271,1975
1272,1975
1273,1975
1274,1975
1275,1975
1276,1975
1277,1975
1278,1975
1279,1975
1280,1975
1281,1975
1282,1975
1283,1975
1284,1975
1285,1975
1286,1975
1287,1975
1288,1975
1289,1975
1290,1975
1291,1975
1292,1975
1293,1975
1294,1975
1295,1975
1296,1975
1297,1975
1298,1975
1299,1975
1300,1975
1301,1975
1302,1975
1303,1975
1304,1975
1305,1975
1306,1975
1307,1975
1308,1975
1309,1975
1310,1975
1311,1975
1312,1975
1313,1975
1314,1975
1315,1975
1316,1975
1317,1975
1318,1975
1319,1975
1320,1975
1321,1975
1322,1975
1323,1975
1324,1975
1325,1975
1326,1975
1327,1975
1328,1975
1329,1975
1330,1975
1331,1975
1332,1975
1333,1975
1334,1975
1335,1975
1336,1975
1337,1975
1338,1975
1339,1975
1340,1975
1341,1975
1342,1975
1343,1975
1344,1975
1345,1975
1346,1975
1347,1975
1348,1975
1349,1975
1350,1975
1351,1975
1352,1975
1353,1975
1354,1975
1355,1975
1356,1975
1357,1975
1358,1975
1359,1975
1360,1975
1361,1975
1362,1975
1363,1975
1364,1975
1365,1975
1366,1975
1367,1975
1368,1975
1369,1975
1370,1975
1371,1975
1372,1975
1373,1975
1374,1975
1375,1975
1376,1975
1377,1975
1378,1975
1379,1975
1380,1975
1381,1975
1382,1975
1383,1975
1384,1975
1385,1975
1386,1975
1387,1975
1388,1975
1389,1975
1390,1975
1391,1975
1392,1975
1393,1975
1394,1975
1395,1975
1396,1975
1397,1975
1398,1975
1399,1975
1400,1975
1401,1975
1402,1975
1403,1975
1404,1975
1405,1975
1406,1975
1407,1975
1408,1975
1409,1975
1410,1975
1411,1975
1412,1975
1413,1975
1414,1975
1415,1975
1416,1975
1417,1975
1418,1975
1419,1975
1420,1975
1421,1975
1422,1975
1423,1975
1424,1975
1425,1975
1426,1975
1427,1975
1428,1975
1429,1975
1430,1975
1431,1975
1432,1975
1433,1975
1434,1975
1435,1975
1436,1975
1437,1975
1438,1975
1439,1975
1440,1975
1441,1975
1442,1975
1443,1975
1444,1975
1445,1975
1446,1975
1447,1975
1448,1975
1449,1975
1450,1975
1451,1975
1452,1975
1453,1975
1454,1975
1455,1975
1456,1975
1457,1975
1458,1975
1459,1975
1460,1975
1461,1975
1462,1975
1463,1975
1464,1975
1465,1975
1466,1975
1467,1975
1468,1975
1469,1975
